,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,Praia,14.92,-23.51,75.2,83,0,13.87,CV,11/18/20 03:21
331,Las Vegas,36.17,-115.14,64.04,25,1,6.93,US,11/18/20 03:16
332,Hanmer Springs,-42.52,172.82,48.54,79,100,1.88,NZ,11/18/20 03:21
333,Ribeira Grande,38.52,-28.7,58.69,58,39,16.75,PT,11/18/20 03:21
334,Hay River,60.82,-115.8,8.6,84,100,3.36,CA,11/18/20 03:18
335,Arlit,18.74,7.39,67.24,29,0,5.14,NE,11/18/20 03:21
336,Bulnes,-36.74,-72.3,53.6,87,1,5.82,CL,11/18/20 03:21
337,Petropavlovsk-Kamchatskiy,53.05,158.65,32.0,83,20,15.66,RU,11/18/20 03:20
338,Ligayan,4.65,119.47,84.31,74,100,10.22,PH,11/18/20 03:21
339,Donskoye,45.46,41.97,30.85,100,90,11.18,RU,11/18/20 03:21
340,Nanortalik,60.14,-45.24,30.54,88,96,27.85,GL,11/18/20 03:21
341,Henties Bay,-22.12,14.28,55.99,90,43,6.89,NA,11/18/20 03:21
342,Tulun,54.56,100.58,21.02,91,100,11.61,RU,11/18/20 03:18
343,Grand Gaube,-20.01,57.66,73.99,62,65,7.0,MU,11/18/20 03:21
344,Zhigansk,66.77,123.37,-8.27,89,100,18.41,RU,11/18/20 03:21
345,Corowa,-36.03,146.38,77.36,27,18,5.82,AU,11/18/20 03:21
346,Yar-Sale,66.83,70.83,19.85,96,75,7.43,RU,11/18/20 03:21
347,Taoudenni,22.68,-3.98,68.25,29,21,14.0,ML,11/18/20 03:21
348,San Quintín,30.48,-115.95,67.77,49,0,3.42,MX,11/18/20 03:21
349,Kudahuvadhoo,2.67,72.89,83.35,75,100,20.36,MV,11/18/20 03:21
350,Huarmey,-10.07,-78.15,63.27,86,87,8.41,PE,11/18/20 03:21
351,Bongandanga,1.5,21.05,69.51,99,97,1.34,CD,11/18/20 03:21
352,Finnsnes,69.23,17.98,39.2,82,94,19.46,NO,11/18/20 03:21
353,Owando,-0.48,15.9,70.56,95,97,1.88,CG,11/18/20 03:21
354,Jaisinghnagar,23.7,81.38,71.29,60,91,4.9,IN,11/18/20 03:21
355,Honiara,-9.43,159.95,91.4,66,40,12.75,SB,11/18/20 03:19
356,Valdivia,-39.81,-73.25,53.6,93,0,4.7,CL,11/18/20 03:21
357,Volchikha,52.03,80.38,10.18,94,94,5.86,RU,11/18/20 03:21
358,Dodge City,37.75,-100.02,54.0,40,1,13.87,US,11/18/20 03:21
359,Andros Town,24.7,-77.77,78.8,74,75,9.17,BS,11/18/20 03:21
360,Wasilla,61.58,-149.44,6.42,84,40,3.36,US,11/18/20 03:21
361,Nālūt,30.33,10.85,57.72,61,90,10.71,LY,11/18/20 03:21
362,Tabuk,17.42,121.44,82.36,64,43,4.83,PH,11/18/20 03:21
363,Abarán,38.21,-1.4,56.8,93,4,0.38,ES,11/18/20 03:21
364,Ginir,7.13,40.7,51.8,46,0,5.14,ET,11/18/20 03:21
365,Lavrentiya,65.58,-171.0,29.19,97,100,14.76,RU,11/18/20 03:21
366,Vangaindrano,-23.35,47.6,70.11,80,28,4.65,MG,11/18/20 03:21
367,Itupiranga,-5.13,-49.33,74.98,91,97,3.83,BR,11/18/20 03:21
368,Ust-Tsilma,65.44,52.15,21.58,92,0,9.89,RU,11/18/20 03:21
369,Makat,47.65,53.35,17.13,87,0,10.31,KZ,11/18/20 03:21
370,Ostrovnoy,68.05,39.51,36.18,84,100,29.86,RU,11/18/20 03:21
371,Naze,28.37,129.48,79.68,65,75,19.46,JP,11/18/20 03:21
372,Toora-Khem,52.47,96.11,11.03,85,100,6.17,RU,11/18/20 03:21
373,Havøysund,71.0,24.66,42.8,76,0,9.17,NO,11/18/20 03:21
374,Krasnooktyabrskiy,44.93,38.37,36.52,77,93,1.01,RU,11/18/20 03:21
375,Manono,-7.3,27.42,69.28,96,100,2.91,CD,11/18/20 03:21
376,Pangnirtung,66.15,-65.71,31.62,91,100,12.28,CA,11/18/20 03:21
377,Ardatov,55.24,43.1,19.83,78,10,9.93,RU,11/18/20 03:21
378,Nemuro,43.32,145.57,51.8,50,75,6.93,JP,11/18/20 03:21
379,Kajiado,-1.85,36.78,62.6,88,75,6.93,KE,11/18/20 03:21
380,Avera,33.19,-82.53,46.29,39,1,6.93,US,11/18/20 03:21
381,Three Hills,51.7,-113.27,35.51,86,100,11.41,CA,11/18/20 03:21
382,Rincon,32.3,-81.24,51.75,62,1,7.43,US,11/18/20 03:21
383,Yumen,40.28,97.2,33.76,77,0,12.15,CN,11/18/20 03:21
384,Uitenhage,-33.76,25.4,62.29,100,90,10.29,ZA,11/18/20 03:21
385,Liverpool,53.41,-2.98,55.35,76,41,16.11,GB,11/18/20 03:19
386,Boguchany,58.38,97.45,8.96,93,19,4.68,RU,11/18/20 03:21
387,Shenjiamen,29.96,122.3,70.95,88,42,24.29,CN,11/18/20 03:21
388,Verkhnevilyuysk,63.45,120.32,-1.1,89,96,9.1,RU,11/18/20 03:21
389,Mehamn,71.04,27.85,41.27,77,75,22.66,NO,11/18/20 03:21
390,Trairi,-3.28,-39.27,80.8,75,88,11.9,BR,11/18/20 03:21
391,Chapais,49.78,-74.85,12.2,85,90,8.05,CA,11/18/20 03:21
392,Smithers,54.78,-127.17,24.8,100,90,2.59,CA,11/18/20 03:21
393,Chara,56.91,118.26,2.19,80,0,0.34,RU,11/18/20 03:21
394,Cabedelo,-6.98,-34.83,78.8,83,40,6.93,BR,11/18/20 03:21
395,Buchanan,5.88,-10.05,73.4,94,75,9.17,LR,11/18/20 03:21
396,Calatayud,41.35,-1.64,46.49,100,90,3.36,ES,11/18/20 03:21
397,Banjar,-8.19,114.97,91.4,63,20,8.05,ID,11/18/20 03:21
398,Acapulco de Juárez,16.86,-99.89,82.4,83,20,4.7,MX,11/18/20 03:20
399,Bracebridge,45.03,-79.32,17.76,72,90,9.17,CA,11/18/20 03:21
400,Kwang Binh,17.48,106.6,79.41,77,10,2.66,VN,11/18/20 03:21
401,Vila Velha,-20.33,-40.29,76.46,88,75,8.05,BR,11/18/20 03:21
402,Birao,10.28,22.79,69.04,37,0,4.63,CF,11/18/20 03:21
403,Bintulu,3.17,113.03,86.0,79,40,2.24,MY,11/18/20 03:21
404,Kokkola,63.84,23.13,42.66,93,90,10.29,FI,11/18/20 03:22
405,Dunedin,-45.87,170.5,54.19,74,99,4.0,NZ,11/18/20 03:17
406,Mporokoso,-9.37,30.12,63.82,97,100,1.99,ZM,11/18/20 03:22
407,Paamiut,61.99,-49.67,35.92,76,100,34.38,GL,11/18/20 03:22
408,Seoul,37.57,126.98,64.94,88,75,6.17,KR,11/18/20 03:21
409,Porto-Novo,6.5,2.6,82.4,78,20,6.93,BJ,11/18/20 03:22
410,Shepsi,44.04,39.15,46.42,72,98,9.82,RU,11/18/20 03:22
411,Ekhabi,53.51,142.97,20.34,95,100,21.59,RU,11/18/20 03:22
412,North Bend,43.41,-124.22,49.01,100,1,8.05,US,11/18/20 03:22
413,Oriximiná,-1.77,-55.87,77.83,79,92,2.82,BR,11/18/20 03:22
414,Bilibino,68.05,166.44,-5.39,88,100,2.21,RU,11/18/20 03:22
415,Gundorovskiy,46.78,41.9,31.71,99,100,19.08,RU,11/18/20 03:22
416,Port Blair,11.67,92.75,83.68,71,0,10.6,IN,11/18/20 03:19
417,Khani,41.96,42.96,44.6,100,99,1.12,GE,11/18/20 03:22
418,Lázaro Cárdenas,17.96,-102.2,78.15,82,1,3.15,MX,11/18/20 03:22
419,Kalmunai,7.42,81.82,80.38,79,84,5.99,LK,11/18/20 03:22
420,Wolverhampton,52.59,-2.12,51.28,86,95,3.0,GB,11/18/20 03:22
421,Xining,36.62,101.77,32.58,90,81,1.39,CN,11/18/20 03:22
422,Koster,-25.86,26.9,64.54,50,26,4.61,ZA,11/18/20 03:22
423,Tomatlán,19.93,-105.25,72.95,83,0,1.74,MX,11/18/20 03:22
424,Burnie,-41.07,145.92,62.47,60,92,15.01,AU,11/18/20 03:22
425,Rustenburg,-25.67,27.24,72.57,41,74,3.36,ZA,11/18/20 03:22
426,Huilong,31.81,121.66,78.67,71,34,26.15,CN,11/18/20 03:22
427,Kindu,-2.95,25.95,68.83,98,100,1.86,CD,11/18/20 03:22
428,Half Moon Bay,37.46,-122.43,56.7,93,90,14.99,US,11/18/20 03:20
429,Pershotravneve,51.39,28.87,33.82,96,100,7.11,UA,11/18/20 03:22
430,Olafsvik,64.89,-23.71,29.44,89,0,15.32,IS,11/18/20 03:22
431,Karakol,42.49,78.39,26.87,82,100,1.68,KG,11/18/20 03:22
432,Frederikshavn,57.44,10.54,55.0,95,100,3.0,DK,11/18/20 03:22
433,Isla Vista,34.41,-119.86,55.69,93,1,1.9,US,11/18/20 03:22
434,Tallahassee,30.44,-84.28,53.87,47,1,4.7,US,11/18/20 03:18
435,West Richland,46.3,-119.36,51.91,71,40,14.99,US,11/18/20 03:22
436,Luanda,-8.84,13.23,77.0,83,40,2.24,AO,11/18/20 03:18
437,Paphos,34.77,32.42,59.0,67,0,10.29,CY,11/18/20 03:17
438,Amherstburg,42.12,-83.05,32.63,50,90,9.17,CA,11/18/20 03:22
439,Tieling,42.29,123.84,48.24,86,100,13.82,CN,11/18/20 03:22
440,Metro,-5.11,105.31,89.28,56,86,1.32,ID,11/18/20 03:22
441,Port Lincoln,-34.73,135.87,79.0,26,100,8.9,AU,11/18/20 03:22
442,Meulaboh,4.14,96.13,82.71,76,100,3.6,ID,11/18/20 03:22
443,Port Hawkesbury,45.62,-61.35,36.93,69,90,10.29,CA,11/18/20 03:18
444,Kibala,9.11,18.35,75.2,53,0,4.5,TD,11/18/20 03:22
445,Santa Rosa,14.31,121.11,90.55,62,20,8.05,PH,11/18/20 03:22
446,Mandalgovi,45.76,106.27,22.55,94,100,10.04,MN,11/18/20 03:22
447,Fare,-16.7,-151.02,81.1,77,9,12.64,PF,11/18/20 03:22
448,Miraflores,19.22,-98.81,57.09,58,75,5.82,MX,11/18/20 03:22
449,Novy Urengoy,66.08,76.63,23.86,98,98,10.22,RU,11/18/20 03:21
450,San Javier,37.81,-0.84,60.93,100,90,4.7,ES,11/18/20 03:22
451,Wapakoneta,40.57,-84.19,31.68,92,1,4.7,US,11/18/20 03:17
452,Champerico,14.3,-91.92,68.81,94,100,2.75,GT,11/18/20 03:22
453,Sandwick,60.0,-1.25,50.0,93,100,6.93,GB,11/18/20 03:22
454,Morristown,36.21,-83.29,38.82,44,1,8.05,US,11/18/20 03:19
455,Lata,40.16,-8.33,57.76,90,4,1.01,PT,11/18/20 03:22
456,Kunya,12.22,8.53,59.0,72,0,4.7,NG,11/18/20 03:22
457,Luganville,-15.53,167.17,84.2,74,75,9.17,VU,11/18/20 03:22
458,Agirish,61.92,63.02,20.12,87,0,9.69,RU,11/18/20 03:22
459,Karur,10.95,78.08,78.33,82,100,4.9,IN,11/18/20 03:22
460,Krasnokamensk,50.1,118.04,17.11,89,100,5.1,RU,11/18/20 03:22
461,Saint-Pierre,-21.34,55.48,70.5,73,90,12.75,RE,11/18/20 03:22
462,Mtambile,-5.38,39.7,78.01,84,55,7.92,TZ,11/18/20 03:22
463,Vaitape,-16.52,-151.75,81.1,77,53,12.5,PF,11/18/20 03:22
464,Iguaí,-14.76,-40.09,70.83,92,98,3.76,BR,11/18/20 03:18
465,Kano,12.0,8.52,59.0,72,0,4.7,NG,11/18/20 03:22
466,Portage,41.17,-81.2,32.72,64,93,5.99,US,11/18/20 03:22
467,Grindavik,63.84,-22.43,23.0,67,0,6.93,IS,11/18/20 03:22
468,Were Īlu,10.6,39.43,40.21,70,0,6.62,ET,11/18/20 03:22
469,Hohhot,40.81,111.65,37.4,74,75,17.9,CN,11/18/20 03:22
470,Codrington,-38.27,141.97,74.41,54,96,13.6,AU,11/18/20 03:22
471,Kamenka,51.32,42.77,18.32,81,0,10.36,RU,11/18/20 03:22
472,Senj,44.99,14.91,50.5,61,0,2.24,HR,11/18/20 03:22
473,Coyhaique,-45.58,-72.07,55.4,71,0,2.24,CL,11/18/20 03:22
474,Araouane,18.9,-3.53,72.23,21,6,9.84,ML,11/18/20 03:22
475,Yerbogachën,61.28,108.01,1.29,91,21,8.75,RU,11/18/20 03:22
476,Korla,41.76,86.15,37.11,70,95,12.75,CN,11/18/20 03:20
477,Tonantins,-2.87,-67.8,74.12,95,83,2.46,BR,11/18/20 03:22
478,Borazjan,29.27,51.22,68.0,77,0,11.41,IR,11/18/20 03:22
479,Cuamba,-14.8,36.54,70.14,63,86,4.32,MZ,11/18/20 03:22
480,Formosa,-26.18,-58.18,71.6,53,0,6.93,AR,11/18/20 03:22
481,Kozhva,65.11,57.05,16.59,95,74,11.79,RU,11/18/20 03:22
482,Qaqortoq,60.72,-46.03,35.6,34,100,28.86,GL,11/18/20 03:22
483,San Patricio,28.02,-97.52,66.18,68,20,8.05,US,11/18/20 03:22
484,Kānkon,15.02,74.02,82.4,69,40,8.05,IN,11/18/20 03:22
485,Grand Bend,43.32,-81.75,32.05,74,100,18.01,CA,11/18/20 03:22
486,Jacqueville,5.21,-4.41,80.6,88,40,3.36,CI,11/18/20 03:22
487,Longyearbyen,78.22,15.64,21.2,53,75,12.75,SJ,11/18/20 03:22
488,Kenai,60.55,-151.26,9.99,85,1,3.36,US,11/18/20 03:22
489,Lékoni,-1.58,14.26,70.66,93,100,2.73,GA,11/18/20 03:22
490,Oranjestad,12.52,-70.03,77.0,94,40,4.7,AW,11/18/20 03:22
491,Port Macquarie,-31.43,152.92,77.56,44,0,3.0,AU,11/18/20 03:20
492,Waingapu,-9.66,120.26,90.1,54,75,14.92,ID,11/18/20 03:22
493,Nacala,-14.54,40.67,76.8,83,39,5.84,MZ,11/18/20 03:22
494,Prince Rupert,54.32,-130.32,34.21,95,90,2.24,CA,11/18/20 03:22
495,Les Cayes,18.2,-73.75,75.54,82,94,2.98,HT,11/18/20 03:22
496,Khovd,48.01,91.64,17.08,74,7,4.32,MN,11/18/20 03:22
497,Karpathos,35.51,27.21,59.0,82,0,9.17,GR,11/18/20 03:22
498,Bonavista,48.65,-53.11,35.89,87,43,5.82,CA,11/18/20 03:22
499,Tautira,-17.73,-149.15,84.09,66,40,8.05,PF,11/18/20 03:22
500,Oodweyne,9.41,45.06,63.46,49,4,15.97,SO,11/18/20 03:22
501,Victor Harbor,-35.57,138.62,87.51,22,100,5.08,AU,11/18/20 03:22
502,Aksu,41.12,80.26,35.33,72,96,5.1,CN,11/18/20 03:22
503,Nabire,-3.37,135.48,87.26,62,100,5.68,ID,11/18/20 03:22
504,Wairoa,-39.03,177.37,64.99,57,100,4.0,NZ,11/18/20 03:22
505,Gumdag,39.21,54.59,31.28,66,27,28.77,TM,11/18/20 03:22
506,Islamkot,24.7,70.18,70.05,29,16,10.94,PK,11/18/20 03:22
507,Bokoro,12.38,17.06,71.33,24,0,10.38,TD,11/18/20 03:22
508,Ponta Delgada,37.73,-25.67,55.4,66,20,11.41,PT,11/18/20 03:22
509,Brinkovskaya,46.03,38.59,41.18,83,99,11.45,RU,11/18/20 03:22
510,Albanel,48.88,-72.45,19.4,73,100,18.34,CA,11/18/20 03:22
511,Port-Cartier,50.03,-66.87,26.17,68,90,9.17,CA,11/18/20 03:22
512,Lyuban',52.8,28.0,34.81,95,100,9.8,BY,11/18/20 03:22
513,Çine,37.61,28.06,42.8,93,0,3.36,TR,11/18/20 03:22
514,Le Port,-20.94,55.29,70.86,49,0,6.93,RE,11/18/20 03:22
515,Sæby,57.33,10.52,55.0,95,100,4.0,DK,11/18/20 03:22
516,Dīr,35.21,71.88,41.54,50,0,8.59,PK,11/18/20 03:22
517,Vilhena,-12.74,-60.15,70.95,92,100,2.89,BR,11/18/20 03:22
518,Sur,22.57,59.53,72.81,51,15,1.21,OM,11/18/20 03:22
519,Rocha,-34.48,-54.33,56.97,69,47,4.79,UY,11/18/20 03:22
520,Leshan,29.56,103.76,65.19,39,98,6.62,CN,11/18/20 03:22
521,Bar Harbor,44.39,-68.2,33.98,55,90,5.82,US,11/18/20 03:22
522,Sungai Penuh,-2.08,101.38,78.31,65,94,1.9,ID,11/18/20 03:22
523,Bontang,0.13,117.5,84.04,71,96,6.73,ID,11/18/20 03:22
524,China,25.7,-99.23,68.16,61,10,13.33,MX,11/18/20 03:22
525,Mindelo,16.89,-24.98,75.2,78,20,18.34,CV,11/18/20 03:22
526,Retz,48.75,15.96,41.99,94,78,1.88,AT,11/18/20 03:22
527,Zaidpur,26.83,81.33,64.4,88,40,2.24,IN,11/18/20 03:22
528,Rancho Palos Verdes,33.74,-118.39,59.13,100,40,11.41,US,11/18/20 03:18
529,Kalabo,-14.97,22.68,69.82,84,98,3.69,ZM,11/18/20 03:22
530,Hofn,64.25,-15.21,26.08,87,0,21.56,IS,11/18/20 03:22
531,Belmonte,-15.86,-38.88,77.0,88,75,5.82,BR,11/18/20 03:22
532,Kismayo,-0.36,42.55,78.73,83,0,10.11,SO,11/18/20 03:22
533,Bayir,37.27,28.22,42.8,93,0,3.36,TR,11/18/20 03:22
534,Gengenbach,48.4,8.02,39.99,87,17,1.54,DE,11/18/20 03:22
535,Sambava,-14.27,50.17,72.19,75,0,9.4,MG,11/18/20 03:22
536,Najrān,17.49,44.13,57.2,47,0,0.27,SA,11/18/20 03:19
537,Ossora,59.24,163.07,24.57,88,100,20.65,RU,11/18/20 03:22
538,Malinovoye Ozero,51.68,79.78,9.28,93,99,6.76,RU,11/18/20 03:22
539,Serenje,-13.23,30.24,63.59,49,83,3.36,ZM,11/18/20 03:22
540,Severo-Yeniseyskiy,60.37,93.04,3.9,94,100,7.58,RU,11/18/20 03:22
541,Road Town,18.42,-64.62,79.66,91,0,1.01,VG,11/18/20 03:18
542,Gaza,31.5,34.47,63.3,57,0,5.99,PS,11/18/20 03:22
543,Kibiti,-7.72,38.94,70.36,99,24,1.03,TZ,11/18/20 03:22
544,Zhezkazgan,47.8,67.71,-5.8,76,40,6.71,KZ,11/18/20 03:22
545,Port Hedland,-20.32,118.57,91.4,41,89,8.05,AU,11/18/20 03:22
546,Arrondissement du Havre,49.58,0.33,49.14,87,0,9.17,FR,11/18/20 03:22
547,Safaga,26.73,33.94,66.2,55,0,11.41,EG,11/18/20 03:22
548,Tibati,6.47,12.63,65.75,45,98,1.7,CM,11/18/20 03:22
549,Chato,-2.64,31.77,68.07,75,100,1.5,TZ,11/18/20 03:22
550,Kushiro,42.98,144.37,53.6,54,40,9.17,JP,11/18/20 03:22
551,Marsá Maţrūḩ,31.35,27.25,62.6,63,40,6.93,EG,11/18/20 03:22
552,Beitbridge,-22.22,30.0,74.75,33,41,7.9,ZW,11/18/20 03:22
553,San Jerónimo,-11.95,-75.28,52.54,61,89,2.93,PE,11/18/20 03:22
554,Nagato,34.38,131.2,70.66,73,75,12.75,JP,11/18/20 03:22
555,Władysławowo,54.79,18.4,51.06,93,20,11.41,PL,11/18/20 03:22
556,Fujin,47.26,132.03,28.62,74,0,8.97,CN,11/18/20 03:22
557,Bethanien,-26.5,17.16,49.46,63,0,4.43,NA,11/18/20 03:22
